Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR10551657	(1, 66.298)	(2, 41.5539)	(3, 46.5642)	(4, 44.0614)	(5, 38.4895)	(6, 33.7339)	(7, 35.9915)	(8, 45.8167)	(9, 44.715199999999996)	(10, 36.4704)	(11, 45.827600000000004)	(12, 44.2207)	(13, 38.272800000000004)	(14, 38.9936)	(15, 41.2112)	(16, 43.6118)	(17, 41.3076)	(18, 43.0889)	(19, 42.859700000000004)	(20, 40.7742)	(21, 41.952)	(22, 41.886)	(23, 40.3971)	(24, 40.6789)	(25, 41.6136)	(26, 41.9877)	(27, 41.1962)	(28, 42.4832)	(29, 42.5925)	(30, 42.6083)	(31, 41.8513)	(32, 43.533300000000004)	(33, 43.2973)	(34, 41.9062)	(35, 39.6893)	(36, 41.3365)	(37, 42.0869)	(38, 42.2655)	(39, 41.5212)	(40, 40.3611)	(41, 42.404399999999995)	(42, 41.586800000000004)	(43, 42.1725)	(44, 42.285000000000004)	(45, 41.7366)	(46, 41.3014)	(47, 41.066399999999994)	(48, 42.006)	(49, 41.6933)	(50, 43.0643)
SRR10551658	(1, 66.1666)	(2, 41.5194)	(3, 46.517399999999995)	(4, 43.6655)	(5, 38.427099999999996)	(6, 33.6008)	(7, 36.2014)	(8, 46.0553)	(9, 45.0023)	(10, 36.9748)	(11, 46.414)	(12, 44.697900000000004)	(13, 38.225500000000004)	(14, 39.0675)	(15, 41.9932)	(16, 44.0355)	(17, 41.409600000000005)	(18, 43.1044)	(19, 42.8635)	(20, 40.8881)	(21, 41.9693)	(22, 41.824600000000004)	(23, 40.2448)	(24, 40.2061)	(25, 41.267900000000004)	(26, 41.7003)	(27, 41.228300000000004)	(28, 42.5573)	(29, 42.5538)	(30, 42.6226)	(31, 41.765600000000006)	(32, 43.662099999999995)	(33, 43.2888)	(34, 42.0061)	(35, 39.5989)	(36, 41.545100000000005)	(37, 42.0055)	(38, 42.0028)	(39, 41.2275)	(40, 40.0587)	(41, 42.336400000000005)	(42, 41.6572)	(43, 41.827999999999996)	(44, 41.8843)	(45, 41.5471)	(46, 40.841)	(47, 40.6825)	(48, 41.9904)	(49, 41.3294)	(50, 43.1085)
SRR10551659	(1, 67.0238)	(2, 43.1449)	(3, 47.8929)	(4, 44.5499)	(5, 39.3539)	(6, 34.3808)	(7, 36.9852)	(8, 46.998200000000004)	(9, 46.055099999999996)	(10, 37.805299999999995)	(11, 47.614000000000004)	(12, 45.4767)	(13, 38.8109)	(14, 39.901199999999996)	(15, 43.0054)	(16, 44.9264)	(17, 42.0892)	(18, 43.6855)	(19, 43.406099999999995)	(20, 41.8673)	(21, 42.7948)	(22, 42.3272)	(23, 40.888799999999996)	(24, 40.8003)	(25, 41.8186)	(26, 42.111599999999996)	(27, 41.97)	(28, 43.249700000000004)	(29, 43.2167)	(30, 43.3544)	(31, 42.5128)	(32, 44.5111)	(33, 43.9098)	(34, 42.552800000000005)	(35, 40.0667)	(36, 42.131600000000006)	(37, 42.465199999999996)	(38, 42.6771)	(39, 41.8375)	(40, 40.7323)	(41, 42.8901)	(42, 42.4514)	(43, 42.382799999999996)	(44, 42.3403)	(45, 42.0115)	(46, 41.4256)	(47, 41.233799999999995)	(48, 42.656)	(49, 41.7487)	(50, 43.9632)
SRR10551660	(1, 66.0745)	(2, 40.0974)	(3, 44.6451)	(4, 43.2631)	(5, 37.8069)	(6, 33.3756)	(7, 35.236200000000004)	(8, 45.121)	(9, 43.3994)	(10, 35.9581)	(11, 46.2216)	(12, 44.304)	(13, 37.282700000000006)	(14, 38.2654)	(15, 41.7378)	(16, 42.6578)	(17, 40.4575)	(18, 41.1648)	(19, 42.4352)	(20, 40.161)	(21, 41.0254)	(22, 41.357699999999994)	(23, 40.0484)	(24, 39.6025)	(25, 40.225)	(26, 40.7806)	(27, 41.1258)	(28, 41.049600000000005)	(29, 41.1903)	(30, 40.6674)	(31, 41.4257)	(32, 41.9219)	(33, 41.9592)	(34, 40.9628)	(35, 39.5071)	(36, 41.5735)	(37, 41.526999999999994)	(38, 40.8795)	(39, 40.274300000000004)	(40, 38.6179)	(41, 40.8709)	(42, 40.5394)	(43, 41.0912)	(44, 40.6462)	(45, 40.1467)	(46, 39.7853)	(47, 39.1349)	(48, 40.8881)	(49, 39.8457)	(50, 40.5955)
SRR10551661	(1, 66.67960000000001)	(2, 40.7496)	(3, 45.460499999999996)	(4, 44.231300000000005)	(5, 37.7768)	(6, 33.6952)	(7, 35.1816)	(8, 45.4712)	(9, 43.4401)	(10, 35.787600000000005)	(11, 46.2039)	(12, 44.765)	(13, 37.4362)	(14, 38.0507)	(15, 41.3323)	(16, 43.1308)	(17, 40.5209)	(18, 41.5253)	(19, 42.9441)	(20, 40.2888)	(21, 41.693599999999996)	(22, 41.3574)	(23, 40.3171)	(24, 40.5312)	(25, 40.8818)	(26, 41.3509)	(27, 41.7639)	(28, 41.4576)	(29, 42.254599999999996)	(30, 40.955999999999996)	(31, 42.153400000000005)	(32, 42.295700000000004)	(33, 42.6758)	(34, 41.4013)	(35, 39.4723)	(36, 41.9277)	(37, 41.8014)	(38, 41.5853)	(39, 41.1244)	(40, 38.9234)	(41, 41.0043)	(42, 40.9582)	(43, 42.266)	(44, 41.3983)	(45, 40.5618)	(46, 40.141799999999996)	(47, 39.7148)	(48, 41.586800000000004)	(49, 40.471000000000004)	(50, 41.6583)
SRR10551662	(1, 69.9692)	(2, 45.0854)	(3, 49.9546)	(4, 47.6628)	(5, 41.3466)	(6, 36.3697)	(7, 38.270199999999996)	(8, 49.1639)	(9, 46.7821)	(10, 40.3063)	(11, 50.951299999999996)	(12, 48.4439)	(13, 40.6248)	(14, 41.9295)	(15, 46.3857)	(16, 46.9118)	(17, 44.3932)	(18, 45.0396)	(19, 46.4126)	(20, 44.1194)	(21, 44.9561)	(22, 45.594)	(23, 44.078)	(24, 43.178)	(25, 43.9703)	(26, 44.9121)	(27, 45.3695)	(28, 45.4749)	(29, 45.0268)	(30, 44.6154)	(31, 45.047)	(32, 46.2188)	(33, 46.768100000000004)	(34, 45.222699999999996)	(35, 43.0413)	(36, 45.9922)	(37, 45.2537)	(38, 45.286100000000005)	(39, 43.9969)	(40, 42.1252)	(41, 44.528099999999995)	(42, 44.3767)	(43, 45.177)	(44, 44.905899999999995)	(45, 43.9058)	(46, 43.0412)	(47, 42.802)	(48, 45.569500000000005)	(49, 43.9135)	(50, 44.9502)
SRR10551663	(1, 67.819)	(2, 42.7114)	(3, 47.4134)	(4, 45.7836)	(5, 39.5712)	(6, 35.363)	(7, 36.8995)	(8, 46.908300000000004)	(9, 45.5992)	(10, 37.547399999999996)	(11, 48.0908)	(12, 46.1833)	(13, 40.3621)	(14, 40.5405)	(15, 43.308600000000006)	(16, 44.9156)	(17, 42.0633)	(18, 43.388799999999996)	(19, 44.0931)	(20, 42.5416)	(21, 44.2745)	(22, 43.2081)	(23, 42.4703)	(24, 42.3033)	(25, 42.7245)	(26, 42.9201)	(27, 43.372)	(28, 43.841)	(29, 43.7188)	(30, 43.1507)	(31, 43.9171)	(32, 44.622499999999995)	(33, 44.8739)	(34, 43.3061)	(35, 41.2138)	(36, 42.8949)	(37, 42.924099999999996)	(38, 43.7336)	(39, 43.7484)	(40, 41.3107)	(41, 43.323)	(42, 43.0845)	(43, 43.2263)	(44, 43.582300000000004)	(45, 42.2287)	(46, 42.4727)	(47, 41.9824)	(48, 43.4904)	(49, 42.3586)	(50, 43.7867)
SRR10551664	(1, 67.7006)	(2, 42.5301)	(3, 47.179)	(4, 45.631899999999995)	(5, 39.402300000000004)	(6, 35.323100000000004)	(7, 36.8207)	(8, 46.692)	(9, 45.3928)	(10, 37.2731)	(11, 47.838300000000004)	(12, 45.952799999999996)	(13, 40.240700000000004)	(14, 40.3583)	(15, 42.9666)	(16, 44.6094)	(17, 41.8975)	(18, 43.2269)	(19, 43.9025)	(20, 42.3198)	(21, 44.0646)	(22, 43.0749)	(23, 42.3942)	(24, 42.336600000000004)	(25, 42.634699999999995)	(26, 42.837599999999995)	(27, 43.276199999999996)	(28, 43.669000000000004)	(29, 43.6383)	(30, 43.0263)	(31, 43.6978)	(32, 44.3431)	(33, 44.629200000000004)	(34, 43.1062)	(35, 41.1329)	(36, 42.721)	(37, 42.8471)	(38, 43.631)	(39, 43.6107)	(40, 41.396)	(41, 43.1779)	(42, 43.0298)	(43, 43.166)	(44, 43.5235)	(45, 42.188199999999995)	(46, 42.5207)	(47, 42.0606)	(48, 43.371500000000005)	(49, 42.2806)	(50, 43.6173)
SRR10551665	(1, 68.5609)	(2, 42.7971)	(3, 47.7045)	(4, 46.052)	(5, 39.585300000000004)	(6, 35.5271)	(7, 37.0257)	(8, 46.862300000000005)	(9, 45.5443)	(10, 37.5263)	(11, 48.1144)	(12, 46.2979)	(13, 40.4778)	(14, 40.5696)	(15, 43.263600000000004)	(16, 44.9149)	(17, 42.1535)	(18, 43.4597)	(19, 44.210300000000004)	(20, 42.5003)	(21, 44.2241)	(22, 43.4544)	(23, 42.5841)	(24, 42.687799999999996)	(25, 43.067299999999996)	(26, 43.1865)	(27, 43.5235)	(28, 43.9747)	(29, 43.934200000000004)	(30, 43.3008)	(31, 43.822100000000006)	(32, 44.675799999999995)	(33, 44.988299999999995)	(34, 43.3823)	(35, 41.3293)	(36, 43.0714)	(37, 43.1891)	(38, 43.8548)	(39, 43.8444)	(40, 41.3948)	(41, 43.2621)	(42, 43.0029)	(43, 43.375)	(44, 43.903)	(45, 42.459)	(46, 42.702600000000004)	(47, 42.204)	(48, 43.5198)	(49, 42.32)	(50, 43.6555)
