Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR10551657	(1, 66.8737)	(2, 41.8663)	(3, 46.9136)	(4, 44.3631)	(5, 38.756099999999996)	(6, 33.9337)	(7, 36.2406)	(8, 46.144)	(9, 45.0261)	(10, 36.7146)	(11, 46.1527)	(12, 44.5318)	(13, 38.5296)	(14, 39.2465)	(15, 41.4904)	(16, 43.898399999999995)	(17, 41.583999999999996)	(18, 43.3834)	(19, 43.1302)	(20, 41.0242)	(21, 42.1982)	(22, 42.162)	(23, 40.642)	(24, 40.928399999999996)	(25, 41.8659)	(26, 42.2421)	(27, 41.429)	(28, 42.7167)	(29, 42.8145)	(30, 42.8231)	(31, 42.0359)	(32, 43.730599999999995)	(33, 43.485)	(34, 42.070800000000006)	(35, 39.8331)	(36, 41.4645)	(37, 42.232)	(38, 42.390699999999995)	(39, 41.6571)	(40, 40.4729)	(41, 42.5184)	(42, 41.6847)	(43, 42.258)	(44, 42.372)	(45, 41.8316)	(46, 41.393)	(47, 41.165400000000005)	(48, 42.1195)	(49, 41.808)	(50, 43.1903)
SRR10551658	(1, 66.6762)	(2, 41.786899999999996)	(3, 46.821)	(4, 43.9245)	(5, 38.6623)	(6, 33.7661)	(7, 36.4086)	(8, 46.335100000000004)	(9, 45.2637)	(10, 37.1865)	(11, 46.692099999999996)	(12, 44.966899999999995)	(13, 38.4375)	(14, 39.272)	(15, 42.239599999999996)	(16, 44.2833)	(17, 41.6294)	(18, 43.3566)	(19, 43.0854)	(20, 41.1016)	(21, 42.169000000000004)	(22, 42.0555)	(23, 40.4411)	(24, 40.407700000000006)	(25, 41.4753)	(26, 41.9128)	(27, 41.4178)	(28, 42.7464)	(29, 42.728500000000004)	(30, 42.798)	(31, 41.908699999999996)	(32, 43.8172)	(33, 43.4311)	(34, 42.1301)	(35, 39.716699999999996)	(36, 41.6488)	(37, 42.1205)	(38, 42.1031)	(39, 41.3241)	(40, 40.1334)	(41, 42.416399999999996)	(42, 41.7306)	(43, 41.885600000000004)	(44, 41.938700000000004)	(45, 41.624100000000006)	(46, 40.9076)	(47, 40.751799999999996)	(48, 42.077799999999996)	(49, 41.4103)	(50, 43.2047)
SRR10551659	(1, 67.4063)	(2, 43.3473)	(3, 48.1136)	(4, 44.7216)	(5, 39.5173)	(6, 34.4949)	(7, 37.1404)	(8, 47.2065)	(9, 46.2427)	(10, 37.9565)	(11, 47.814099999999996)	(12, 45.6619)	(13, 38.954499999999996)	(14, 40.047399999999996)	(15, 43.191)	(16, 45.0994)	(17, 42.2449)	(18, 43.858999999999995)	(19, 43.5585)	(20, 42.011900000000004)	(21, 42.9264)	(22, 42.492999999999995)	(23, 41.0184)	(24, 40.9405)	(25, 41.961)	(26, 42.2589)	(27, 42.0905)	(28, 43.3722)	(29, 43.3266)	(30, 43.4801)	(31, 42.601499999999994)	(32, 44.612899999999996)	(33, 43.9983)	(34, 42.6295)	(35, 40.139399999999995)	(36, 42.195899999999995)	(37, 42.536699999999996)	(38, 42.7491)	(39, 41.8917)	(40, 40.7688)	(41, 42.9275)	(42, 42.4788)	(43, 42.3985)	(44, 42.3628)	(45, 42.0549)	(46, 41.4598)	(47, 41.2694)	(48, 42.7061)	(49, 41.7834)	(50, 44.012299999999996)
SRR10551660	(1, 66.6455)	(2, 40.333200000000005)	(3, 44.8934)	(4, 43.4801)	(5, 37.9598)	(6, 33.4361)	(7, 35.349599999999995)	(8, 45.320899999999995)	(9, 43.5849)	(10, 36.0612)	(11, 46.4289)	(12, 44.5083)	(13, 37.4094)	(14, 38.3879)	(15, 41.891400000000004)	(16, 42.8171)	(17, 40.592600000000004)	(18, 41.3086)	(19, 42.5908)	(20, 40.2964)	(21, 41.1542)	(22, 41.512)	(23, 40.1749)	(24, 39.7245)	(25, 40.3591)	(26, 40.9055)	(27, 41.241)	(28, 41.1742)	(29, 41.295500000000004)	(30, 40.768100000000004)	(31, 41.5257)	(32, 42.0203)	(33, 42.0551)	(34, 41.046)	(35, 39.5692)	(36, 41.6379)	(37, 41.589999999999996)	(38, 40.9331)	(39, 40.351)	(40, 38.677)	(41, 40.931200000000004)	(42, 40.5898)	(43, 41.131499999999996)	(44, 40.693200000000004)	(45, 40.173500000000004)	(46, 39.828)	(47, 39.1665)	(48, 40.9302)	(49, 39.8959)	(50, 40.6524)
SRR10551661	(1, 67.369)	(2, 41.1027)	(3, 45.8326)	(4, 44.5725)	(5, 38.048500000000004)	(6, 33.8734)	(7, 35.4153)	(8, 45.813900000000004)	(9, 43.756699999999995)	(10, 36.0239)	(11, 46.5531)	(12, 45.1141)	(13, 37.693)	(14, 38.3028)	(15, 41.6228)	(16, 43.418600000000005)	(17, 40.8082)	(18, 41.8124)	(19, 43.2273)	(20, 40.5558)	(21, 41.9518)	(22, 41.6371)	(23, 40.5835)	(24, 40.7868)	(25, 41.1349)	(26, 41.615)	(27, 42.0158)	(28, 41.7087)	(29, 42.4892)	(30, 41.1789)	(31, 42.368)	(32, 42.5133)	(33, 42.8813)	(34, 41.5889)	(35, 39.6336)	(36, 42.0894)	(37, 41.957100000000004)	(38, 41.7351)	(39, 41.283500000000004)	(40, 39.0542)	(41, 41.1542)	(42, 41.0858)	(43, 42.4039)	(44, 41.528)	(45, 40.6682)	(46, 40.260400000000004)	(47, 39.828)	(48, 41.715799999999994)	(49, 40.6096)	(50, 41.8038)
SRR10551662	(1, 70.0745)	(2, 45.1119)	(3, 49.9759)	(4, 47.6695)	(5, 41.3369)	(6, 36.334)	(7, 38.2614)	(8, 49.175799999999995)	(9, 46.764)	(10, 40.2933)	(11, 50.9425)	(12, 48.4415)	(13, 40.6089)	(14, 41.9061)	(15, 46.3779)	(16, 46.8827)	(17, 44.373200000000004)	(18, 45.0263)	(19, 46.3903)	(20, 44.1068)	(21, 44.9202)	(22, 45.596)	(23, 44.069199999999995)	(24, 43.1716)	(25, 43.952400000000004)	(26, 44.8878)	(27, 45.3553)	(28, 45.4522)	(29, 44.989200000000004)	(30, 44.5905)	(31, 45.0034)	(32, 46.1928)	(33, 46.7384)	(34, 45.190999999999995)	(35, 43.0255)	(36, 45.966699999999996)	(37, 45.2261)	(38, 45.2611)	(39, 43.987300000000005)	(40, 42.108200000000004)	(41, 44.5162)	(42, 44.3671)	(43, 45.15)	(44, 44.8846)	(45, 43.8767)	(46, 43.020199999999996)	(47, 42.7915)	(48, 45.5624)	(49, 43.9)	(50, 44.9349)
SRR10551663	(1, 68.25949999999999)	(2, 42.9341)	(3, 47.6412)	(4, 45.9997)	(5, 39.739000000000004)	(6, 35.4824)	(7, 37.0512)	(8, 47.1246)	(9, 45.8074)	(10, 37.696200000000005)	(11, 48.3036)	(12, 46.3939)	(13, 40.5284)	(14, 40.6986)	(15, 43.491800000000005)	(16, 45.0982)	(17, 42.2425)	(18, 43.5693)	(19, 44.2617)	(20, 42.7027)	(21, 44.438)	(22, 43.3934)	(23, 42.6387)	(24, 42.4547)	(25, 42.877900000000004)	(26, 43.0773)	(27, 43.5274)	(28, 43.9973)	(29, 43.8614)	(30, 43.2937)	(31, 44.044)	(32, 44.7555)	(33, 45.0186)	(34, 43.4355)	(35, 41.3227)	(36, 42.9906)	(37, 43.0238)	(38, 43.8394)	(39, 43.8631)	(40, 41.395700000000005)	(41, 43.4154)	(42, 43.1663)	(43, 43.3016)	(44, 43.6734)	(45, 42.293)	(46, 42.5469)	(47, 42.0634)	(48, 43.566300000000005)	(49, 42.4476)	(50, 43.8834)
SRR10551664	(1, 68.1772)	(2, 42.7513)	(3, 47.423300000000005)	(4, 45.8564)	(5, 39.5802)	(6, 35.4401)	(7, 36.9662)	(8, 46.9188)	(9, 45.6052)	(10, 37.4251)	(11, 48.0694)	(12, 46.1796)	(13, 40.416999999999994)	(14, 40.5124)	(15, 43.1536)	(16, 44.7951)	(17, 42.0754)	(18, 43.4136)	(19, 44.0813)	(20, 42.4906)	(21, 44.230199999999996)	(22, 43.274499999999996)	(23, 42.558099999999996)	(24, 42.504599999999996)	(25, 42.7988)	(26, 42.999700000000004)	(27, 43.4369)	(28, 43.830200000000005)	(29, 43.778299999999994)	(30, 43.1783)	(31, 43.832)	(32, 44.4807)	(33, 44.7658)	(34, 43.2365)	(35, 41.2372)	(36, 42.818400000000004)	(37, 42.9472)	(38, 43.736799999999995)	(39, 43.722899999999996)	(40, 41.486200000000004)	(41, 43.2645)	(42, 43.1261)	(43, 43.2485)	(44, 43.6031)	(45, 42.2518)	(46, 42.594300000000004)	(47, 42.1325)	(48, 43.4492)	(49, 42.3665)	(50, 43.7065)
SRR10551665	(1, 68.8823)	(2, 42.9416)	(3, 47.8459)	(4, 46.1909)	(5, 39.6951)	(6, 35.6029)	(7, 37.1253)	(8, 47.0015)	(9, 45.6822)	(10, 37.6185)	(11, 48.2616)	(12, 46.4441)	(13, 40.5848)	(14, 40.6643)	(15, 43.3863)	(16, 45.0353)	(17, 42.2678)	(18, 43.5734)	(19, 44.3214)	(20, 42.601499999999994)	(21, 44.327299999999994)	(22, 43.5914)	(23, 42.694700000000005)	(24, 42.7994)	(25, 43.1607)	(26, 43.2937)	(27, 43.626599999999996)	(28, 44.07)	(29, 44.022800000000004)	(30, 43.3884)	(31, 43.9009)	(32, 44.7604)	(33, 45.075199999999995)	(34, 43.4525)	(35, 41.3973)	(36, 43.1278)	(37, 43.248799999999996)	(38, 43.9127)	(39, 43.9199)	(40, 41.448499999999996)	(41, 43.3133)	(42, 43.0505)	(43, 43.420500000000004)	(44, 43.9527)	(45, 42.4844)	(46, 42.754999999999995)	(47, 42.2584)	(48, 43.5696)	(49, 42.3819)	(50, 43.715399999999995)
