Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR10551657	(1, 36.8796)	(2, 36.8918)	(3, 36.887)	(4, 36.9076)	(5, 36.6262)	(6, 37.7034)	(7, 38.1695)	(8, 38.5018)	(9, 38.6628)	(10, 38.7286)	(11, 38.7269)	(12, 38.7421)	(13, 38.7743)	(14, 38.6357)	(15, 38.6597)	(16, 38.5986)	(17, 38.67)	(18, 38.6331)	(19, 38.6957)	(20, 38.7301)	(21, 38.7423)	(22, 38.7281)	(23, 38.7295)	(24, 38.7325)	(25, 38.7319)	(26, 38.6851)	(27, 38.6559)	(28, 38.6435)	(29, 38.6368)	(30, 38.6223)	(31, 38.621)	(32, 38.6115)	(33, 38.6198)	(34, 38.5187)	(35, 38.5503)	(36, 38.5776)	(37, 38.5679)	(38, 38.5401)	(39, 38.538)	(40, 38.5174)	(41, 38.4853)	(42, 38.4594)	(43, 38.4517)	(44, 38.428)	(45, 38.3949)	(46, 38.3615)	(47, 38.2276)	(48, 38.2618)	(49, 38.2151)	(50, 36.0377)
SRR10551658	(1, 36.8723)	(2, 36.8677)	(3, 36.8781)	(4, 36.8953)	(5, 36.6186)	(6, 37.6942)	(7, 38.162)	(8, 38.5002)	(9, 38.6749)	(10, 38.7434)	(11, 38.7396)	(12, 38.7593)	(13, 38.7898)	(14, 38.6457)	(15, 38.6665)	(16, 38.6072)	(17, 38.676)	(18, 38.6445)	(19, 38.7124)	(20, 38.7469)	(21, 38.7534)	(22, 38.7404)	(23, 38.7434)	(24, 38.7443)	(25, 38.7471)	(26, 38.7081)	(27, 38.6773)	(28, 38.6677)	(29, 38.6584)	(30, 38.6481)	(31, 38.6468)	(32, 38.6346)	(33, 38.6449)	(34, 38.5444)	(35, 38.5775)	(36, 38.6094)	(37, 38.5996)	(38, 38.5706)	(39, 38.567)	(40, 38.5505)	(41, 38.5161)	(42, 38.4853)	(43, 38.4785)	(44, 38.4597)	(45, 38.4334)	(46, 38.3947)	(47, 38.269)	(48, 38.3037)	(49, 38.2515)	(50, 36.0964)
SRR10551659	(1, 36.896)	(2, 36.9006)	(3, 36.9008)	(4, 36.9201)	(5, 36.6398)	(6, 37.7094)	(7, 38.1816)	(8, 38.5177)	(9, 38.6785)	(10, 38.7411)	(11, 38.7428)	(12, 38.7664)	(13, 38.7999)	(14, 38.6514)	(15, 38.6714)	(16, 38.6154)	(17, 38.6825)	(18, 38.6475)	(19, 38.713)	(20, 38.7463)	(21, 38.7539)	(22, 38.7392)	(23, 38.7452)	(24, 38.7439)	(25, 38.7398)	(26, 38.6992)	(27, 38.6651)	(28, 38.6557)	(29, 38.6455)	(30, 38.637)	(31, 38.6394)	(32, 38.6245)	(33, 38.6335)	(34, 38.5384)	(35, 38.5705)	(36, 38.6031)	(37, 38.5901)	(38, 38.5633)	(39, 38.5616)	(40, 38.5449)	(41, 38.5108)	(42, 38.4821)	(43, 38.4789)	(44, 38.4575)	(45, 38.4321)	(46, 38.3972)	(47, 38.2704)	(48, 38.3021)	(49, 38.2492)	(50, 36.0657)
SRR10551660	(1, 36.7185)	(2, 36.7384)	(3, 36.7587)	(4, 36.468)	(5, 36.7355)	(6, 37.8165)	(7, 38.1865)	(8, 38.497)	(9, 38.6637)	(10, 38.7079)	(11, 38.7288)	(12, 38.7447)	(13, 38.748)	(14, 38.7544)	(15, 38.7519)	(16, 38.7523)	(17, 38.7171)	(18, 38.7187)	(19, 38.7232)	(20, 38.7214)	(21, 38.7083)	(22, 38.7348)	(23, 38.7055)	(24, 38.7109)	(25, 38.7074)	(26, 38.6873)	(27, 38.6877)	(28, 38.6799)	(29, 38.6829)	(30, 38.6391)	(31, 38.6179)	(32, 38.6214)	(33, 38.6005)	(34, 38.6114)	(35, 38.6058)	(36, 38.6304)	(37, 38.5816)	(38, 38.5781)	(39, 38.5704)	(40, 38.5614)	(41, 38.5696)	(42, 38.558)	(43, 38.5274)	(44, 38.5258)	(45, 38.5215)	(46, 38.5094)	(47, 38.5026)	(48, 38.4849)	(49, 38.4309)	(50, 38.0313)
SRR10551661	(1, 36.7208)	(2, 36.7435)	(3, 36.7534)	(4, 36.4566)	(5, 36.7328)	(6, 37.8033)	(7, 38.1791)	(8, 38.4917)	(9, 38.6638)	(10, 38.705)	(11, 38.7246)	(12, 38.736)	(13, 38.7349)	(14, 38.7482)	(15, 38.742)	(16, 38.7444)	(17, 38.7081)	(18, 38.7091)	(19, 38.7144)	(20, 38.7134)	(21, 38.7085)	(22, 38.7277)	(23, 38.695)	(24, 38.7066)	(25, 38.6938)	(26, 38.6741)	(27, 38.6742)	(28, 38.6597)	(29, 38.6619)	(30, 38.6108)	(31, 38.5945)	(32, 38.5948)	(33, 38.572)	(34, 38.5875)	(35, 38.569)	(36, 38.5982)	(37, 38.549)	(38, 38.5468)	(39, 38.5332)	(40, 38.5271)	(41, 38.528)	(42, 38.5199)	(43, 38.4914)	(44, 38.4803)	(45, 38.4724)	(46, 38.4591)	(47, 38.4521)	(48, 38.43)	(49, 38.3735)	(50, 37.9713)
SRR10551662	(1, 36.753)	(2, 36.7458)	(3, 36.7435)	(4, 36.5142)	(5, 36.6731)	(6, 37.7459)	(7, 38.1514)	(8, 38.4776)	(9, 38.6472)	(10, 38.6946)	(11, 38.7117)	(12, 38.726)	(13, 38.7328)	(14, 38.7115)	(15, 38.711)	(16, 38.6953)	(17, 38.6796)	(18, 38.6791)	(19, 38.6957)	(20, 38.6999)	(21, 38.6958)	(22, 38.7095)	(23, 38.6859)	(24, 38.6949)	(25, 38.6863)	(26, 38.6642)	(27, 38.6584)	(28, 38.6422)	(29, 38.6393)	(30, 38.6054)	(31, 38.586)	(32, 38.583)	(33, 38.5756)	(34, 38.5622)	(35, 38.5666)	(36, 38.5982)	(37, 38.5588)	(38, 38.5526)	(39, 38.5332)	(40, 38.5273)	(41, 38.5284)	(42, 38.5188)	(43, 38.4984)	(44, 38.499)	(45, 38.4945)	(46, 38.4751)	(47, 38.4492)	(48, 38.446)	(49, 38.3983)	(50, 37.582)
SRR10551663	(1, 36.7132)	(2, 36.7201)	(3, 36.7333)	(4, 36.4405)	(5, 36.713)	(6, 37.7857)	(7, 38.1727)	(8, 38.4904)	(9, 38.6597)	(10, 38.7116)	(11, 38.731)	(12, 38.7386)	(13, 38.7436)	(14, 38.7532)	(15, 38.7477)	(16, 38.7472)	(17, 38.7094)	(18, 38.708)	(19, 38.7126)	(20, 38.7104)	(21, 38.7035)	(22, 38.7245)	(23, 38.698)	(24, 38.7095)	(25, 38.6948)	(26, 38.6774)	(27, 38.6791)	(28, 38.672)	(29, 38.6748)	(30, 38.6241)	(31, 38.5994)	(32, 38.5987)	(33, 38.5808)	(34, 38.5926)	(35, 38.5847)	(36, 38.6124)	(37, 38.5688)	(38, 38.5644)	(39, 38.5537)	(40, 38.5404)	(41, 38.5464)	(42, 38.5297)	(43, 38.5025)	(44, 38.5003)	(45, 38.4943)	(46, 38.4944)	(47, 38.4887)	(48, 38.4686)	(49, 38.4134)	(50, 38.0068)
SRR10551664	(1, 36.7286)	(2, 36.7409)	(3, 36.751)	(4, 36.4511)	(5, 36.7213)	(6, 37.7905)	(7, 38.1742)	(8, 38.4932)	(9, 38.6608)	(10, 38.7053)	(11, 38.729)	(12, 38.7356)	(13, 38.7399)	(14, 38.749)	(15, 38.7412)	(16, 38.7432)	(17, 38.7065)	(18, 38.7061)	(19, 38.7083)	(20, 38.7097)	(21, 38.7008)	(22, 38.7224)	(23, 38.6931)	(24, 38.7061)	(25, 38.6886)	(26, 38.6707)	(27, 38.6755)	(28, 38.6651)	(29, 38.6654)	(30, 38.612)	(31, 38.5896)	(32, 38.5894)	(33, 38.5661)	(34, 38.5816)	(35, 38.5705)	(36, 38.5975)	(37, 38.5556)	(38, 38.553)	(39, 38.5446)	(40, 38.5316)	(41, 38.5347)	(42, 38.5219)	(43, 38.4912)	(44, 38.4889)	(45, 38.4834)	(46, 38.4827)	(47, 38.4745)	(48, 38.4539)	(49, 38.4012)	(50, 37.9879)
SRR10551665	(1, 36.7093)	(2, 36.7152)	(3, 36.7242)	(4, 36.428)	(5, 36.6981)	(6, 37.7694)	(7, 38.1607)	(8, 38.4788)	(9, 38.6458)	(10, 38.6932)	(11, 38.7155)	(12, 38.7203)	(13, 38.7262)	(14, 38.7357)	(15, 38.7293)	(16, 38.7304)	(17, 38.697)	(18, 38.6962)	(19, 38.6988)	(20, 38.6983)	(21, 38.6934)	(22, 38.7146)	(23, 38.6862)	(24, 38.6983)	(25, 38.6856)	(26, 38.6634)	(27, 38.6679)	(28, 38.6589)	(29, 38.6581)	(30, 38.6066)	(31, 38.5795)	(32, 38.5851)	(33, 38.5645)	(34, 38.5794)	(35, 38.5703)	(36, 38.5983)	(37, 38.5558)	(38, 38.5492)	(39, 38.5364)	(40, 38.525)	(41, 38.5349)	(42, 38.5258)	(43, 38.4959)	(44, 38.4954)	(45, 38.4875)	(46, 38.4902)	(47, 38.4859)	(48, 38.4713)	(49, 38.4166)	(50, 38.0069)
