Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR10551657	(1, 0.151015)	(2, 4.64803e-05)	(3, 0.0)	(4, 0.00010458100000000001)	(5, 0.0)	(6, 0.000488043)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 3.48602e-05)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 5.8100400000000004e-05)	(25, 0.0)	(26, 1.1620099999999999e-05)	(27, 2.3240199999999998e-05)	(28, 0.000429943)	(29, 1.1620099999999999e-05)	(30, 0.00112715)	(31, 1.1620099999999999e-05)	(32, 0.00046480299999999996)	(33, 0.000209161)	(34, 0.00041832299999999996)	(35, 0.0)	(36, 0.00115039)	(37, 0.0016384300000000002)	(38, 0.000546144)	(39, 0.000197541)	(40, 0.00160357)	(41, 0.000220782)	(42, 9.29607e-05)	(43, 0.000441563)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0024867)	(48, 8.134059999999999e-05)	(49, 0.0007785460000000001)	(50, 0.000139441)
SRR10551658	(1, 0.149559)	(2, 1.51713e-05)	(3, 3.03426e-05)	(4, 9.10278e-05)	(5, 0.0)	(6, 0.000318597)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 3.03426e-05)	(25, 0.0)	(26, 1.51713e-05)	(27, 4.55139e-05)	(28, 0.000379283)	(29, 1.51713e-05)	(30, 0.0011681900000000002)	(31, 4.55139e-05)	(32, 0.000515824)	(33, 0.00019722700000000001)	(34, 0.000439968)	(35, 0.0)	(36, 0.00113785)	(37, 0.0015323)	(38, 0.0005309959999999999)	(39, 0.00019722700000000001)	(40, 0.0015778200000000002)	(41, 0.000136542)	(42, 3.03426e-05)	(43, 0.000364111)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00235155)	(48, 4.55139e-05)	(49, 0.000622024)	(50, 7.585650000000001e-05)
SRR10551659	(1, 0.149805)	(2, 1.19395e-05)	(3, 1.19395e-05)	(4, 0.00014327399999999998)	(5, 1.19395e-05)	(6, 0.00028654799999999997)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 1.19395e-05)	(15, 1.19395e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 3.5818499999999996e-05)	(25, 0.0)	(26, 0.0)	(27, 1.19395e-05)	(28, 0.00028654799999999997)	(29, 0.0)	(30, 0.00115813)	(31, 0.0)	(32, 0.0005492170000000001)	(33, 0.000155214)	(34, 0.000370125)	(35, 0.0)	(36, 0.00100292)	(37, 0.0016237699999999999)	(38, 0.00047758)	(39, 0.00014327399999999998)	(40, 0.00164765)	(41, 0.00014327399999999998)	(42, 3.5818499999999996e-05)	(43, 0.000334306)	(44, 0.0)	(45, 0.0)	(46, 3.5818499999999996e-05)	(47, 0.00265057)	(48, 3.5818499999999996e-05)	(49, 0.000608915)	(50, 8.35765e-05)
SRR10551660	(1, 0.0579766)	(2, 0.0228446)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0016595)	(15, 0.00024716)	(16, 0.00010592599999999999)	(17, 0.00038839399999999997)	(18, 0.000141234)	(19, 0.00173012)	(20, 0.00100629)	(21, 0.000317777)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000353085)	(32, 0.000688516)	(33, 0.0)	(34, 1.7654299999999998e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
SRR10551661	(1, 0.0570142)	(2, 0.0209139)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0019612199999999996)	(15, 0.000312406)	(16, 0.00019091500000000002)	(17, 0.00038183000000000005)	(18, 0.00019091500000000002)	(19, 0.0017703)	(20, 0.00100664)	(21, 0.000624813)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000277695)	(32, 0.000867796)	(33, 5.20677e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 3.47118e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
SRR10551662	(1, 0.0756936)	(2, 0.0167304)	(3, 0.0)	(4, 3.32281e-05)	(5, 0.0)	(6, 6.64562e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00134574)	(15, 0.000166141)	(16, 0.000116298)	(17, 0.000215983)	(18, 0.000149527)	(19, 0.00166141)	(20, 0.000664562)	(21, 0.000498422)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 4.98422e-05)	(29, 1.66141e-05)	(30, 0.00029905299999999997)	(31, 0.000232597)	(32, 0.000731019)	(33, 3.32281e-05)	(34, 0.000166141)	(35, 0.0)	(36, 0.000249211)	(37, 0.000282439)	(38, 6.64562e-05)	(39, 3.32281e-05)	(40, 0.000149527)	(41, 0.0)	(42, 0.0)	(43, 0.000132912)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.00044858)	(48, 1.66141e-05)	(49, 8.30703e-05)	(50, 4.98422e-05)
SRR10551663	(1, 0.0555852)	(2, 0.021304299999999998)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00164361)	(15, 0.000234801)	(16, 0.000187841)	(17, 0.000500908)	(18, 0.000375681)	(19, 0.00186275)	(20, 0.0008452830000000001)	(21, 0.000720056)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00039133500000000003)	(32, 0.000579175)	(33, 3.1306799999999996e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
SRR10551664	(1, 0.056855800000000005)	(2, 0.021931199999999998)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00160696)	(15, 0.000321392)	(16, 0.000214261)	(17, 0.000459132)	(18, 0.000183653)	(19, 0.0020507900000000003)	(20, 0.0009641760000000001)	(21, 0.000642784)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000443827)	(32, 0.0009488719999999999)	(33, 1.5304400000000002e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
SRR10551665	(1, 0.057124400000000006)	(2, 0.0223768)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00146939)	(15, 0.000293879)	(16, 0.000125948)	(17, 0.000223908)	(18, 0.00015393700000000001)	(19, 0.0019312)	(20, 0.0007836770000000001)	(21, 0.00046181)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000279885)	(32, 0.0007277)	(33, 2.79885e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 1.3994199999999999e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
