Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR10551657	(1, 0.153718)	(2, 4.4292600000000003e-05)	(3, 0.0)	(4, 9.965840000000001e-05)	(5, 0.0)	(6, 0.000476146)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 3.3219499999999996e-05)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0009855110000000001)	(25, 0.0)	(26, 2.2146300000000002e-05)	(27, 3.3219499999999996e-05)	(28, 0.00106302)	(29, 1.1073200000000001e-05)	(30, 0.00116268)	(31, 0.000221463)	(32, 0.00045399899999999996)	(33, 0.000287902)	(34, 0.000586877)	(35, 0.0)	(36, 0.00139522)	(37, 0.0031669199999999997)	(38, 0.000963364)	(39, 0.00026575599999999997)	(40, 0.00308941)	(41, 0.0014062900000000001)	(42, 0.000797267)	(43, 0.0009301450000000001)	(44, 1.1073200000000001e-05)	(45, 4.4292600000000003e-05)	(46, 1.1073200000000001e-05)	(47, 0.0038977499999999997)	(48, 0.00017716999999999999)	(49, 0.0009190719999999999)	(50, 0.000775121)
SRR10551658	(1, 0.151792)	(2, 1.44674e-05)	(3, 2.89349e-05)	(4, 0.000101272)	(5, 0.0)	(6, 0.000303816)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.00125867)	(25, 0.0)	(26, 1.44674e-05)	(27, 4.3402299999999996e-05)	(28, 0.00140334)	(29, 2.89349e-05)	(30, 0.00134547)	(31, 0.00036168599999999995)	(32, 0.000520828)	(33, 0.000231479)	(34, 0.000491893)	(35, 0.0)	(36, 0.00127314)	(37, 0.00321177)	(38, 0.000868047)	(39, 0.000303816)	(40, 0.0033998500000000003)	(41, 0.00169269)	(42, 0.000868047)	(43, 0.000983786)	(44, 4.3402299999999996e-05)	(45, 2.89349e-05)	(46, 1.44674e-05)	(47, 0.00406535)	(48, 0.000173609)	(49, 0.0009259170000000001)	(50, 0.000882514)
SRR10551659	(1, 0.15266)	(2, 2.28175e-05)	(3, 1.14087e-05)	(4, 0.000136905)	(5, 1.14087e-05)	(6, 0.000296627)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 2.28175e-05)	(15, 1.14087e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.000912699)	(25, 0.0)	(26, 0.0)	(27, 4.5635e-05)	(28, 0.00109524)	(29, 0.0)	(30, 0.00120933)	(31, 0.000171131)	(32, 0.000536211)	(33, 0.000171131)	(34, 0.00045634999999999995)	(35, 0.0)	(36, 0.00116369)	(37, 0.002875)	(38, 0.0008214289999999999)	(39, 0.00018254)	(40, 0.00298909)	(41, 0.00126637)	(42, 0.000593254)	(43, 0.000730159)	(44, 0.0)	(45, 1.14087e-05)	(46, 5.7043700000000004e-05)	(47, 0.00384475)	(48, 0.000102679)	(49, 0.000810021)	(50, 0.000684524)
SRR10551660	(1, 0.0583196)	(2, 0.0231406)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0016385700000000002)	(15, 0.000267521)	(16, 0.00010032)	(17, 0.000367842)	(18, 0.000133761)	(19, 0.00185593)	(20, 0.000969765)	(21, 0.000334402)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00041800200000000005)	(32, 0.0007858440000000001)	(33, 0.0)	(34, 1.67201e-05)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
SRR10551661	(1, 0.0577863)	(2, 0.0212655)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0019541299999999997)	(15, 0.000312004)	(16, 0.00019705500000000002)	(17, 0.000377688)	(18, 0.000180634)	(19, 0.0018884400000000001)	(20, 0.0010017000000000001)	(21, 0.00065685)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000328425)	(32, 0.0009852740000000002)	(33, 4.92637e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 3.28425e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
SRR10551662	(1, 0.07641110000000001)	(2, 0.016784800000000002)	(3, 0.0)	(4, 3.16993e-05)	(5, 0.0)	(6, 6.33986e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0013155200000000001)	(15, 0.000158496)	(16, 0.000110947)	(17, 0.000206045)	(18, 0.000158496)	(19, 0.00174346)	(20, 0.000681534)	(21, 0.000475489)	(22, 0.0)	(23, 0.0)	(24, 0.000110947)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.000126797)	(29, 1.5849599999999998e-05)	(30, 0.000301143)	(31, 0.000253594)	(32, 0.000776632)	(33, 6.33986e-05)	(34, 0.000206045)	(35, 0.0)	(36, 0.000285294)	(37, 0.000523038)	(38, 0.000110947)	(39, 3.16993e-05)	(40, 0.00042794)	(41, 0.000158496)	(42, 0.000110947)	(43, 0.000142647)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.000697384)	(48, 1.5849599999999998e-05)	(49, 0.000110947)	(50, 9.50978e-05)
SRR10551663	(1, 0.0554867)	(2, 0.0219452)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00163327)	(15, 0.00022271900000000002)	(16, 0.00017817499999999998)	(17, 0.000489982)	(18, 0.00035634999999999996)	(19, 0.00187084)	(20, 0.000950268)	(21, 0.000712701)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.000415742)	(32, 0.000608765)	(33, 2.96959e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
SRR10551664	(1, 0.05703350000000001)	(2, 0.0220943)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00159473)	(15, 0.000304449)	(16, 0.000231961)	(17, 0.000434928)	(18, 0.00017397099999999998)	(19, 0.00207316)	(20, 0.00101483)	(21, 0.0006378940000000001)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00044942500000000004)	(32, 0.000956841)	(33, 2.8995199999999996e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
SRR10551665	(1, 0.057465100000000005)	(2, 0.02229)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.00147448)	(15, 0.000278957)	(16, 0.000119553)	(17, 0.000225822)	(18, 0.00014612000000000002)	(19, 0.00197926)	(20, 0.0008103019999999999)	(21, 0.00047821100000000003)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00034537500000000003)	(32, 0.000783735)	(33, 2.65673e-05)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 1.3283600000000001e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)
