"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Thin to Mature (Up)","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","40/179","372/2564",0.10752688172043,1.54021745659879,3.08657216819069,0.00228779944393739,0.0321596996807592,0.028210262877859,"YAL060W/YBL011W/YBR052C/YBR117C/YBR126C/YCR073W-A/YDL022W/YDR001C/YDR074W/YEL011W/YER037W/YER073W/YFR015C/YFR053C/YGR043C/YGR248W/YHR033W/YJL045W/YJL088W/YJL137C/YJR010W/YKL085W/YKR058W/YKR067W/YKR069W/YLR258W/YLR438W/YML100W/YMR105C/YMR118C/YMR165C/YMR169C/YMR250W/YMR313C/YNL277W/YOR374W/YOR393W/YPR026W/YPR160W/YPR184W",40
"Thin to Mature (Up)","Metabolism","Energy metabolism","sce00920","Sulfur metabolism","5/179","15/2564",0.333333333333333,4.77467411545624,4.01602864365166,0.00264744093574943,0.0321596996807592,0.028210262877859,"YFR030W/YJR010W/YKL001C/YNL277W/YPR167C",5
"Thin to Mature (Up)","Genetic Information Processing","Folding, sorting and degradation","sce03050","Proteasome","8/179","36/2564",0.222222222222222,3.18311607697083,3.61323468341537,0.0026799749733966,0.0321596996807592,0.028210262877859,"YDL007W/YDR363W-A/YFR004W/YGR253C/YHR027C/YIL075C/YOR261C/YPR103W",8
"Thin to Mature (Down)","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","64/209","372/2564",0.172043010752688,2.11061377784638,6.90027250677327,3.24230222023398e-10,2.82080293160356e-08,2.25254680563624e-08,"YAL038W/YAR015W/YBR029C/YBR208C/YBR221C/YCL018W/YCL064C/YCR005C/YCR012W/YCR068W/YCR105W/YDL015C/YDR399W/YEL046C/YFL053W/YFR055W/YGL001C/YGL234W/YGL253W/YGR060W/YGR061C/YGR157W/YGR244C/YGR254W/YHR007C/YHR018C/YHR046C/YHR072W/YHR123W/YHR174W/YHR183W/YIR031C/YJL052W/YJL071W/YJL196C/YKL055C/YKL106W/YKL181W/YKR097W/YLR056W/YLR134W/YLR153C/YLR174W/YLR359W/YLR372W/YLR377C/YMR015C/YMR120C/YMR202W/YMR208W/YMR303C/YNL280C/YNR016C/YNR043W/YOL056W/YOL061W/YOL126C/YPL028W/YPL148C/YPL273W/YPR001W/YPR060C/YPR069C/YPR074C",64
"Thin to Mature (Down)","Metabolism","Global and overview maps","sce01212","Fatty acid metabolism","12/209","23/2564",0.521739130434783,6.4006656958602,7.74927139368067,3.83937986850775e-08,1.67013024280087e-06,1.3336793227448e-06,"YDL015C/YGL055W/YHR067W/YIL009W/YJL196C/YKL055C/YKL182W/YLR372W/YMR246W/YNR016C/YPL028W/YPL231W",12
"Thin to Mature (Down)","Metabolism","Global and overview maps","sce01200","Carbon metabolism","26/209","113/2564",0.230088495575221,2.8227124528941,5.90252339692557,5.14305658182089e-07,1.49148640872806e-05,1.19102362947431e-05,"YAL038W/YBR221C/YCL064C/YCR005C/YCR012W/YFL053W/YGL253W/YGR244C/YGR254W/YHR174W/YHR183W/YIR031C/YJL052W/YKL106W/YKL181W/YKR097W/YLR153C/YLR174W/YLR377C/YOL056W/YOL061W/YOL126C/YPL028W/YPR001W/YPR002W/YPR074C",26
"Thin to Mature (Down)","Metabolism","Lipid metabolism","sce00061","Fatty acid biosynthesis","7/209","13/2564",0.538461538461538,6.60581523739418,6.03541609885944,2.43413227206547e-05,0.000529423769174239,0.000422770341990318,"YHR067W/YIL009W/YKL055C/YKL182W/YMR246W/YNR016C/YPL231W",7
"Thin to Mature (Down)","Metabolism","Lipid metabolism","sce00100","Steroid biosynthesis","8/209","18/2564",0.444444444444444,5.45241892610314,5.64618447414791,3.65552615759843e-05,0.000636061551422126,0.000507925739792623,"YGL001C/YGR060W/YHR007C/YHR072W/YLR056W/YMR015C/YMR202W/YNL280C",8
"Thin to Mature (Down)","Metabolism","Carbohydrate metabolism","sce00010","Glycolysis / Gluconeogenesis","14/209","55/2564",0.254545454545455,3.12274902131361,4.74003614982362,7.95082735581441e-05,0.00115286996659309,0.000920622114883773,"YAL038W/YBR221C/YCR012W/YCR105W/YGL253W/YGR254W/YHR174W/YJL052W/YKR097W/YLR134W/YLR153C/YLR377C/YMR303C/YOL056W",14
"Thin to Mature (Down)","Metabolism","Nucleotide metabolism","sce00230","Purine metabolism","13/209","57/2564",0.228070175438596,2.7979518173424,4.08874758223548,0.000469106061496302,0.00583031819288261,0.00465578948251969,"YAR015W/YDR399W/YGL101W/YGL234W/YGR061C/YIR027C/YIR032C/YJR105W/YKL181W/YLR359W/YML022W/YMR120C/YOL061W",13
