"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Early to Mature (Down)","GO:0046395","carboxylic acid catabolic process","28/774","87/6447",0.32183908045977,2.6807448988684,5.82964500722169,4.83400316036864e-07,1.30693867263058e-05,1.14350773324701e-05,"852291/850295/856694/856665/856728/856766/850616/852679/852667/852978/856432/854841/853477/853541/853613/853755/853878/850733/850825/850833/850933/854899/855518/855482/854545/854570/856010/856246",28
"Early to Mature (Down)","GO:0006696","ergosterol biosynthetic process","16/774","35/6447",0.457142857142857,3.8077519379845,6.15184295426256,7.10702373721406e-07,1.76508659689136e-05,1.54436487010775e-05,"852883/852872/852951/853086/856398/856470/850745/850790/851171/854900/855029/855242/855248/855441/855779/856079",16
"Early to Mature (Down)","GO:0008204","ergosterol metabolic process","17/774","39/6447",0.435897435897436,3.63078910753329,6.08648177836142,7.35947336968825e-07,1.76508659689136e-05,1.54436487010775e-05,"850415/852883/852872/852951/853086/856398/856470/850745/850790/851171/854900/855029/855242/855248/855441/855779/856079",17
"Early to Mature (Down)","GO:0044283","small molecule biosynthetic process","72/774","349/6447",0.206303724928367,1.71839808089558,5.09675087457384,1.59274207136285e-06,3.75937692081993e-05,3.28927184662403e-05,"851238/852495/850342/850370/851547/851620/851910/856683/856665/856638/856790/850616/852883/852875/852872/852825/852951/852978/853047/853086/856398/856432/856442/856464/856470/854792/854765/854758/854851/853395/853243/853465/853481/853569/853613/853810/853805/853705/853653/850668/850733/850745/850790/850825/850933/851126/851171/854900/855029/855206/855242/855247/855248/855313/855315/855349/855441/855750/855779/854099/854068/853994/854212/854342/854573/856079/856010/855845/855855/855849/856147/856239",72
"Early to Mature (Down)","GO:0044248","cellular catabolic process","31/774","109/6447",0.284403669724771,2.36892824123462,5.3238652394817,2.44368886093043e-06,5.42353035254261e-05,4.74532510936373e-05,"852291/850295/856694/856665/856728/856766/850616/852679/852667/852978/856432/854841/853477/853541/853613/853755/853699/853878/850733/850825/850833/850933/851006/854899/855518/855482/854099/854545/854570/856010/856246",31
"Early to Mature (Down)","GO:0015677","copper ion import","8/774","11/6447",0.727272727272727,6.05778717406624,6.20094836178814,4.93478309898041e-06,0.00010335242912935,9.04283455943631e-05,"856580/850675/850911/855369/854013/854563/854566/856241",8
"Early to Mature (Down)","GO:0098771","inorganic ion homeostasis","31/774","114/6447",0.271929824561404,2.26502787977696,5.03334869202748,6.82391770110782e-06,0.000135295541620631,0.00011837701443606,"851246/852424/852537/850343/850411/851321/851663/851685/851862/852046/852102/852117/856644/856849/850494/853173/856345/856580/854718/854851/853570/850675/850710/850911/855035/855080/854160/853990/854013/854563/854566",31
"Early to Mature (Down)","GO:0055082","intracellular chemical homeostasis","45/774","210/6447",0.214285714285714,1.78488372093023,4.27106652638542,5.92321285985435e-05,0.00107412408812237,0.000939806302282411,"851243/852331/852424/852598/850343/850411/851417/851321/851663/851685/851862/852046/852102/852117/856644/856849/850494/852876/852639/852926/853019/853155/853173/856345/856580/854718/854851/853570/853891/853904/850675/850710/850911/851167/851168/855035/855080/855580/854160/853990/854013/854563/854566/856071/855898",45
"Early to Mature (Down)","GO:0015698","inorganic anion transport","13/774","34/6447",0.382352941176471,3.18479252165983,4.71767781568769,8.05276196759499e-05,0.00140875965244868,0.00123259613522568,"852537/850373/850387/850403/851875/852638/854640/853739/854924/854918/855322/854572/856331",13
"Early to Mature (Down)","GO:0015695","organic cation transport","14/774","39/6447",0.358974358974359,2.9900616179686,4.60412191190016,9.63527368793137e-05,0.00166600604348302,0.0014576742078682,"851317/856646/852803/853104/856370/854721/853980/850938/855288/855622/854267/854447/855854/856171",14
